"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","26,432.4","26,414.3","26,527.7","26,313.3","","0.14%"
"11/30/2023","26,396.1","26,626.6","26,660.6","26,391.2","","-0.80%"
"11/29/2023","26,608.4","26,644.6","26,707.6","26,595.3","","-0.08%"
"11/28/2023","26,628.8","26,552.5","26,687.0","26,518.8","","0.34%"
"11/27/2023","26,539.1","26,549.6","26,590.8","26,481.0","","0.00%"
"11/24/2023","26,538.0","26,441.9","26,578.7","26,378.0","","0.40%"
"11/23/2023","26,431.3","26,365.3","26,498.0","26,347.1","","0.30%"
"11/22/2023","26,352.0","26,339.2","26,440.4","26,276.9","","0.11%"
"11/21/2023","26,323.4","26,452.9","26,508.5","26,311.4","","-0.43%"
"11/20/2023","26,437.2","26,480.4","26,488.7","26,373.8","","-0.05%"
"11/17/2023","26,449.5","26,360.1","26,490.1","26,254.8","","0.37%"
"11/16/2023","26,352.5","26,355.5","26,468.1","26,294.1","","0.03%"
"11/15/2023","26,344.9","26,512.1","26,531.8","26,316.6","","-0.57%"
"11/14/2023","26,495.8","26,089.5","26,535.3","26,045.0","","1.59%"
"11/13/2023","26,080.1","25,988.8","26,107.8","25,980.3","","0.42%"
"11/10/2023","25,970.8","25,975.4","26,028.1","25,900.6","","0.04%"
"11/09/2023","25,961.0","26,103.7","26,138.0","25,955.9","","-0.51%"
"11/08/2023","26,093.0","26,025.3","26,128.0","25,969.7","","0.32%"
"11/07/2023","26,009.3","26,090.5","26,120.0","25,943.6","","-0.27%"
"11/06/2023","26,079.8","26,323.6","26,366.8","26,088.1","","-0.87%"
"11/03/2023","26,307.5","26,108.7","26,369.0","26,087.8","","0.82%"
"11/02/2023","26,093.3","25,991.8","26,220.5","25,984.4","","0.43%"
"11/01/2023","25,981.4","25,977.7","26,011.5","25,862.7","","0.03%"
"10/31/2023","25,974.7","26,081.4","26,227.0","25,932.2","","-0.34%"
"10/30/2023","26,063.4","25,971.2","26,106.0","25,912.8","","0.41%"
"10/27/2023","25,955.8","25,978.0","26,049.9","25,895.0","","-0.04%"
"10/26/2023","25,967.0","25,975.8","25,996.4","25,889.4","","0.09%"
"10/25/2023","25,942.7","26,011.5","26,069.4","25,958.2","","-0.20%"
"10/24/2023","25,993.5","26,245.7","26,286.1","25,989.4","","-0.91%"
"10/23/2023","26,232.6","25,997.7","26,269.1","25,910.0","","1.00%"
"10/20/2023","25,974.0","25,992.2","26,023.4","25,885.2","","-0.01%"
"10/19/2023","25,976.4","25,884.5","26,081.9","25,802.7","","0.42%"
"10/18/2023","25,868.7","25,908.8","26,014.1","25,853.8","","-0.11%"
"10/17/2023","25,898.2","25,846.8","25,959.0","25,794.3","","0.28%"
"10/16/2023","25,824.9","25,694.9","25,854.2","25,694.9","","0.55%"
"10/13/2023","25,684.0","25,734.5","25,822.1","25,665.5","","-0.14%"
"10/12/2023","25,720.3","25,970.8","26,024.2","25,729.6","","-0.88%"
"10/11/2023","25,947.9","25,881.5","26,003.8","25,860.5","","0.34%"
"10/10/2023","25,860.7","25,767.6","25,919.3","25,744.7","","0.44%"
"10/09/2023","25,746.9","25,757.9","25,790.0","25,643.2","","-0.16%"
"10/06/2023","25,787.5","25,742.0","25,849.3","25,561.6","","0.28%"
"10/05/2023","25,716.0","25,678.7","25,748.1","25,611.8","","0.26%"
"10/04/2023","25,648.3","25,541.6","25,738.6","25,492.9","","0.51%"
"10/03/2023","25,518.9","25,518.0","25,601.5","25,483.9","","0.08%"
"10/02/2023","25,498.6","25,685.5","25,783.0","25,515.5","","-0.64%"
"09/29/2023","25,664.0","25,781.0","25,826.6","25,674.6","","-0.33%"
"09/28/2023","25,748.1","25,626.1","25,814.0","25,599.4","","0.56%"
"09/27/2023","25,604.3","25,772.5","25,829.0","25,589.5","","-0.64%"
"09/26/2023","25,769.7","25,841.6","25,885.2","25,754.2","","-0.19%"
"09/25/2023","25,818.4","25,968.9","25,987.1","25,795.3","","-0.50%"
"09/22/2023","25,948.3","25,930.5","26,011.6","25,826.5","","0.15%"
"09/21/2023","25,909.6","25,893.1","25,966.9","25,785.6","","0.16%"
"09/20/2023","25,869.4","26,048.1","26,082.6","25,867.6","","-0.58%"
"09/19/2023","26,019.8","26,060.3","26,137.1","26,028.3","","-0.12%"
"09/18/2023","26,051.5","25,873.8","26,090.7","25,862.8","","0.82%"
"09/15/2023","25,838.4","25,778.3","25,936.9","25,762.6","","0.26%"
"09/14/2023","25,772.5","25,926.6","26,044.7","25,758.9","","-0.54%"
"09/13/2023","25,913.5","25,933.3","26,006.4","25,884.3","","0.00%"
"09/12/2023","25,914.7","25,893.8","25,961.0","25,812.4","","0.15%"
"09/11/2023","25,875.8","25,778.8","25,915.5","25,759.6","","0.54%"
"09/08/2023","25,736.4","25,757.3","25,864.3","25,725.9","","0.00%"
"09/07/2023","25,737.0","25,810.4","25,849.5","25,721.2","","-0.25%"
"09/06/2023","25,801.4","25,802.5","25,900.1","25,743.0","","0.01%"
"09/05/2023","25,798.4","26,002.2","26,024.3","25,765.2","","-0.63%"
"09/04/2023","25,963.2","25,957.6","26,034.7","25,943.2","","0.17%"
"09/01/2023","25,919.8","26,108.1","26,210.5","25,942.0","","-0.63%"
"08/31/2023","26,083.4","26,364.4","26,399.4","26,094.9","","-0.97%"
"08/30/2023","26,337.8","26,317.5","26,413.9","26,207.9","","0.13%"
"08/29/2023","26,303.0","26,056.3","26,349.0","26,053.9","","0.98%"
"08/28/2023","26,047.3","25,959.1","26,078.0","25,888.8","","0.39%"
"08/25/2023","25,945.9","25,954.8","26,058.9","25,857.5","","0.04%"
"08/24/2023","25,936.2","26,065.8","26,098.2","25,941.6","","-0.42%"
"08/23/2023","26,045.3","25,964.7","26,100.1","25,917.6","","0.41%"
"08/22/2023","25,938.8","25,944.4","26,153.6","25,927.6","","0.05%"
"08/21/2023","25,926.0","25,911.4","25,995.6","25,831.3","","0.22%"
"08/18/2023","25,868.9","25,946.0","26,005.8","25,831.6","","-0.23%"
"08/17/2023","25,927.3","26,042.6","26,066.5","25,906.7","","-0.43%"
"08/16/2023","26,038.9","26,149.5","26,229.9","26,030.6","","-0.35%"
"08/15/2023","26,131.4","25,983.6","26,261.0","25,968.1","","0.63%"
"08/14/2023","25,967.9","26,024.3","26,105.7","25,907.3","","-0.09%"
"08/11/2023","25,992.0","26,077.1","26,149.1","25,999.4","","-0.28%"
"08/10/2023","26,064.2","26,060.1","26,277.8","26,030.0","","0.08%"
"08/09/2023","26,044.4","26,009.5","26,110.0","25,969.8","","0.19%"
"08/08/2023","25,993.8","26,108.9","26,137.0","25,944.3","","-0.41%"
"08/07/2023","26,101.5","26,151.2","26,153.6","25,989.4","","-0.08%"
"08/04/2023","26,121.2","26,007.7","26,209.4","25,910.8","","0.50%"
"08/03/2023","25,992.0","25,962.9","26,049.3","25,925.2","","0.14%"
"08/02/2023","25,956.6","26,018.7","26,109.4","25,915.4","","-0.19%"
"08/01/2023","26,005.4","26,044.4","26,065.7","25,944.1","","-0.13%"
"07/31/2023","26,038.5","26,119.0","26,167.6","26,039.7","","-0.19%"
"07/28/2023","26,089.0","25,981.6","26,178.2","25,932.2","","0.48%"
"07/27/2023","25,963.2","26,234.3","26,389.9","25,952.1","","-1.01%"
"07/26/2023","26,227.9","26,156.9","26,297.0","26,120.2","","0.31%"
"07/25/2023","26,145.9","26,196.4","26,285.6","26,080.0","","-0.12%"
"07/24/2023","26,178.2","26,323.7","26,377.8","26,183.4","","-0.49%"
"07/21/2023","26,307.8","26,333.4","26,370.8","26,277.6","","-0.02%"
"07/20/2023","26,314.4","26,476.8","26,611.1","26,298.0","","-0.55%"
"07/19/2023","26,460.9","26,543.4","26,576.3","26,415.3","","-0.27%"
"07/18/2023","26,532.7","26,561.9","26,667.1","26,499.7","","-0.08%"
"07/17/2023","26,553.0","26,562.3","26,598.8","26,483.9","","0.09%"
"07/14/2023","26,529.4","26,578.7","26,598.0","26,490.7","","-0.12%"
"07/13/2023","26,561.6","26,349.9","26,583.5","26,317.1","","0.88%"
"07/12/2023","26,328.8","26,090.1","26,373.5","26,070.5","","0.98%"
"07/11/2023","26,073.2","26,018.9","26,109.2","26,004.8","","0.28%"
"07/10/2023","26,001.6","25,946.4","26,023.7","25,855.9","","0.31%"
"07/07/2023","25,920.5","25,825.2","25,954.7","25,711.8","","0.42%"
"07/06/2023","25,813.1","25,793.2","25,857.2","25,697.1","","0.18%"
"07/05/2023","25,765.7","25,792.9","25,913.1","25,775.4","","-0.05%"
"07/04/2023","25,778.5","25,872.4","25,885.4","25,781.1","","-0.28%"
"07/03/2023","25,851.3","25,732.4","25,925.7","25,652.6","","0.51%"
"06/30/2023","25,720.3","25,608.1","25,784.3","25,547.8","","0.45%"
"06/29/2023","25,605.4","25,713.8","25,791.9","25,597.5","","-0.37%"
"06/28/2023","25,700.9","25,791.2","25,831.6","25,674.9","","-0.29%"
"06/27/2023","25,775.6","25,682.1","25,830.1","25,663.3","","0.46%"
"06/26/2023","25,657.1","25,634.0","25,708.0","25,613.7","","0.20%"
"06/23/2023","25,605.5","25,776.3","25,782.2","25,508.7","","-0.61%"
"06/22/2023","25,763.0","25,829.3","25,905.7","25,755.2","","-0.21%"
"06/21/2023","25,817.9","25,687.3","25,841.0","25,644.7","","0.57%"
"06/20/2023","25,672.1","25,699.1","25,752.8","25,626.2","","-0.05%"
"06/19/2023","25,686.2","25,746.5","25,758.3","25,659.8","","-0.15%"
"06/16/2023","25,723.8","25,757.9","25,814.8","25,688.9","","-0.08%"
"06/15/2023","25,743.4","25,458.6","25,779.1","25,383.7","","1.14%"
"06/14/2023","25,452.8","25,363.9","25,539.7","25,325.3","","0.39%"
"06/13/2023","25,353.4","25,260.8","25,440.3","25,259.6","","0.38%"
"06/12/2023","25,257.4","25,243.3","25,345.4","25,196.6","","0.14%"
"06/09/2023","25,223.2","25,332.3","25,342.9","25,223.4","","-0.40%"
"06/08/2023","25,324.6","25,128.2","25,345.2","25,120.0","","0.81%"
"06/07/2023","25,121.9","25,116.7","25,225.7","25,052.6","","0.04%"
"06/06/2023","25,112.5","25,177.9","25,207.6","25,055.6","","-0.22%"
"06/05/2023","25,167.8","25,154.5","25,200.2","25,083.9","","0.14%"
"06/02/2023","25,132.3","25,278.5","25,308.9","25,136.8","","-0.54%"
"06/01/2023","25,269.9","25,113.5","25,292.6","25,039.0","","0.67%"
"05/31/2023","25,100.8","25,213.5","25,215.8","24,983.1","","-0.40%"
"05/30/2023","25,201.1","25,133.2","25,240.5","25,070.7","","0.33%"
"05/29/2023","25,119.3","25,187.3","25,217.3","25,127.3","","-0.22%"
"05/26/2023","25,174.6","25,169.9","25,266.0","25,128.6","","0.07%"
"05/25/2023","25,157.5","25,235.6","25,253.2","25,134.7","","-0.27%"
"05/24/2023","25,225.6","25,292.7","25,357.7","25,226.5","","-0.20%"
"05/23/2023","25,277.2","25,346.6","25,371.7","25,263.3","","-0.24%"
"05/22/2023","25,338.8","25,380.5","25,419.2","25,305.6","","-0.01%"
"05/19/2023","25,341.5","25,266.1","25,416.8","25,225.6","","0.35%"
"05/18/2023","25,253.3","25,425.2","25,445.2","25,245.0","","-0.65%"
"05/17/2023","25,417.5","25,474.1","25,504.0","25,353.7","","-0.20%"
"05/16/2023","25,469.1","25,509.3","25,573.4","25,456.5","","-0.14%"
"05/15/2023","25,503.5","25,468.2","25,550.4","25,441.2","","0.26%"
"05/12/2023","25,438.6","25,613.1","25,654.8","25,448.2","","-0.68%"
"05/11/2023","25,612.1","25,775.2","25,816.2","25,577.9","","-0.59%"
"05/10/2023","25,764.6","25,722.7","25,837.4","25,681.3","","0.20%"
"05/09/2023","25,712.2","25,808.0","25,809.1","25,674.6","","-0.33%"
"05/08/2023","25,796.7","25,869.6","25,920.6","25,792.7","","-0.11%"
"05/05/2023","25,826.2","25,825.9","25,909.3","25,713.7","","0.04%"
"05/04/2023","25,815.3","25,952.3","26,021.1","25,763.7","","-0.46%"
"05/03/2023","25,933.4","25,810.3","26,028.6","25,810.3","","0.54%"
"05/02/2023","25,795.0","25,748.2","25,832.6","25,674.2","","0.23%"
"05/01/2023","25,736.4","25,894.8","25,900.7","25,725.9","","-0.41%"
"04/28/2023","25,841.9","25,868.5","25,918.3","25,722.3","","-0.04%"
"04/27/2023","25,852.8","25,921.1","25,969.3","25,781.7","","-0.20%"
"04/26/2023","25,905.4","25,756.2","26,047.9","25,744.5","","0.59%"
"04/25/2023","25,754.6","25,953.1","26,003.6","25,736.3","","-0.71%"
"04/24/2023","25,939.7","25,823.4","25,964.9","25,747.5","","0.53%"
"04/21/2023","25,803.0","25,768.5","25,831.6","25,696.1","","0.17%"
"04/20/2023","25,759.3","25,760.3","25,845.7","25,680.4","","0.02%"
"04/19/2023","25,753.9","25,800.7","25,830.1","25,628.3","","-0.13%"
"04/18/2023","25,787.3","25,660.5","25,823.1","25,654.6","","0.50%"
"04/17/2023","25,659.7","25,768.8","25,832.5","25,624.1","","-0.47%"
"04/14/2023","25,781.7","25,890.3","25,970.8","25,726.6","","-0.38%"
